Unnamed: 0,English,Portugues
466,shut,fechar
467,stuff,coisa
468,short,curto
469,ready,preparar
470,understand,entender
471,kept,mantido
472,plan,plano
473,raise,elevação
474,street,rua
475,different,diferente
476,problem,problema
477,break,quebrar
478,line,linha
479,early,cedo
480,cut,corte
481,cold,frio
483,scream,gritar
484,instead,em vez de
485,stupid,estúpido
486,silence,silêncio
487,tree,árvore
488,caught,capturado
489,ear,orelha
490,food,comida
491,full,completo
492,four,quatro
493,cause,causa
494,fuck,Porra
495,explain,explicar
496,expect,esperar
497,fight,lutar
498,exactly,exatamente
499,sort,organizar
500,completely,completamente
501,men,homens
502,dance,dança
503,met,conheceu
504,story,história
505,whatever,qualquer que seja
506,build,construir
507,speak,falar
508,glass,vidro
509,pain,dor
510,check,verificar
511,glare,brilho
512,corner,canto
513,Mrs.,Sra.
514,chest,peito
515,hot,quente
516,rather,em vez de
517,month,mês
518,real,real
519,touch,tocar
520,park,parque
521,bring,trazer
522,they're,eles são
523,drink,bebida
524,ago,atrás
525,force,vigor
526,you've,você tem
527,fast,rápido
528,lost,perdido
529,attention,atenção
530,wish,desejar
531,mark,marca
532,wave,aceno
533,shout,gritar
534,fill,preencher
535,begin,começar
536,baby,bebê
537,interest,interesse
538,fun,diversão
539,green,verde
540,however,no entanto
541,cheek,bochecha
542,mine,meu
543,clear,claro
544,brown,marrom
545,forward,avançar
546,near,aproximar
547,picture,foto
548,may,poderia
549,cool,legal
550,drive,dirigir
551,hug,abraço
552,shake,sacudir
553,sense,senso
554,alright,tudo bem
555,you'll,você vai
556,dream,sonhar
557,hang,pendurar
558,clothes,roupas
559,act,agir
560,become,tornar-se
561,manage,gerenciar
562,meant,significou
563,game,jogo
564,ignore,ignorar
565,stair,escada
566,taken,levado
567,party,festa
568,add,adicionar
569,sometimes,às vezes
570,job,trabalho
571,ten,dez
572,shot,tomada
573,date,data
574,quiet,quieto
575,gaze,olhar
576,group,grupo
577,loud,alto
578,straight,direto
579,dead,morto
580,neck,pescoço
582,pause,pausa
583,number,número
584,conversation,conversa
585,chance,chance
586,we'll,bem
587,rose,rosa
588,quietly,silenciosamente
589,town,cidade
590,blood,sangue
591,color,cor
592,desk,mesa
593,dinner,jantar
594,hall,salão
595,horse,cavalo
596,music,música
597,brought,trouxe
598,piece,pedaço
599,anymore,não mais
600,beautiful,lindo
601,order,ordem
603,office,escritório
604,TRUE,verdadeiro
605,although,embora
606,warm,esquentar
607,easy,fácil
608,enter,digitar
609,perfect,perfeito
610,mutter,murmurar
611,softly,suavemente
612,cross,cruzar
613,shock,choque
614,smirk,sorriso irônico
615,damn,droga
616,soft,macio
617,stomach,estômago
618,snap,foto
619,spoke,falou
620,tire,pneu
621,box,caixa
622,catch,pegar
623,skin,pele
624,teacher,professor
625,middle,meio
626,note,observação
627,yourself,você mesmo
628,haven't,não têm
629,lunch,almoço
630,tomorrow,amanhã
631,breathe,respirar
632,clean,limpar
633,except,exceto
634,appear,aparecer
635,lock,trancar
636,knock,bater
637,bathroom,banheiro
638,movie,filme
639,agree,concordar
640,offer,oferecer
641,kick,chute
642,form,forma
643,confuse,confundir
644,lay,deitar
645,less,menos
646,calm,calma
647,slip,escorregar
648,weren't,não eram
649,sign,sinal
650,dog,cachorro
651,lift,elevador
652,immediately,imediatamente
653,arrive,chegar
654,deal,negócio
655,tonight,essa noite
656,usually,geralmente
657,case,caso
658,frown,franzir a testa
659,shop,comprar
660,scare,susto
662,mum,mãe
663,couch,sofá
664,pay,pagar
665,state,estado
666,shit,merda
667,wrap,enrolar
668,pocket,bolso
669,hello,olá
670,free,livre
671,huge,enorme
672,ride,andar de
673,bother,irmão
674,land,terra
675,known,conhecido
676,especially,especialmente
677,expression,expressão
678,carry,carregar
679,ring,anel
680,spot,ver
681,allow,permitir
682,several,diversos
683,aren't,não são
684,during,durante
685,empty,vazio
686,lady,senhora
687,eyebrow,sobrancelha
688,strange,estranho
689,coffee,café
690,road,estrada
691,threw,jogou
692,wide,largo
693,bus,ônibus
694,forget,esquecer
695,gotten,pego
696,smell,cheiro
697,fear,temer
698,press,imprensa
699,boyfriend,namorado
700,blonde,loiro
701,throw,lançar
702,round,redondo
703,sun,sol
704,tall,alto
705,glad,alegre
706,age,idade
707,write,escrever
708,upon,sobre
709,hide,esconder
710,became,tornou-se
711,crowd,multidão
712,rain,chuva
713,save,salvar
714,trouble,dificuldade
715,annoy,irritar
716,nose,nariz
717,weird,esquisito
718,death,morte
719,beat,bater
720,tone,tom
721,trip,viagem
722,six,seis
723,control,controlar
724,nearly,aproximadamente
725,consider,considerar
726,gonna,vai
727,join,juntar
728,learn,aprender
729,above,acima
730,hi,oi
731,obviously,obviamente
732,entire,inteiro
733,direction,direção
734,foot,pé
735,angry,nervoso
736,power,poder
737,strong,forte
738,quick,rápido
739,doctor,doutor
740,edge,borda
741,song,canção
742,asleep,dormindo
743,twenty,vinte
744,barely,por muito pouco
745,remain,permanecer
746,child,criança
747,enjoy,aproveitar
748,gun,pistola
749,slow,lento
750,city,cidade
751,broke,quebrado
752,key,chave
753,lead,liderar
754,throat,garganta
755,normal,normal
756,you'd,você faria
757,somewhere,em algum lugar
758,wake,acordar
759,pair,par
760,sky,céu
761,funny,engraçado
762,business,negócios
763,student,estudante
764,giggle,riso
765,bright,brilhante
766,admit,admitir
767,jeans,jeans
768,given,dado
769,children,crianças
770,store,loja
771,sweet,doce
772,low,baixo
773,climb,escalar
774,rub,esfregar
775,apartment,apartamento
776,knee,joelho
777,shoe,sapato
778,attack,ataque
779,bedroom,quarto
780,joke,piada
781,spent,gasto
782,situation,situação
783,stuck,preso
784,gently,suavemente
785,possible,possível
786,cell,célula
787,mention,menção
788,silent,silencioso
789,definitely,definitivamente
790,rush,correr
791,hung,pendurado
792,brush,escovar
793,perhaps,talvez
794,groan,gemido
795,ass,bunda
796,rock,pedra
797,card,cartão
798,lose,perder
799,blush,corar
800,besides,além do mais
801,crazy,louco
802,type,tipo
803,bore,furo
804,afraid,com medo
805,chase,perseguir
806,respond,responder
807,marry,casar
808,remind,lembrar
809,pack,pacote
810,daughter,filha
811,serious,sério
812,girlfriend,namorada
813,mad,louco
814,somehow,de alguma forma
815,buy,comprar
816,sent,enviado
817,tight,apertado
818,simply,simplesmente
819,trust,confiar
820,imagine,imaginar
821,wind,vento
822,chuckle,risada
823,bar,bar
824,pink,rosa
825,shove,empurrão
826,ball,bola
827,sight,visão
828,drag,arrastar
829,they'd,eles
830,human,humano
831,truth,verdade
832,share,compartilhar
833,area,área
834,concern,preocupação
835,shouldn't,não deveria
836,team,equipe
837,escape,escapar
838,mumble,resmungar
839,often,muitas vezes
840,search,procurar
841,apparently,aparentemente
842,attempt,tentar
843,son,filho
844,within,dentro de
845,band,banda
846,cute,bonitinho
847,led,liderado
848,memory,memória
849,anger,raiva
850,fly,voar
851,paint,pintar
852,bottle,garrafa
853,busy,ocupado
854,comment,comentário
855,exclaim,exclamar
856,avoid,evitar
857,grow,crescer
858,grey,cinza
859,mirror,espelho
860,gasp,suspiro
861,hallway,corredor
862,dear,querido
863,star,estrela
864,sick,doente
865,cat,gato
866,counter,contador
867,interrupt,interromper
868,none,nenhum
869,blink,piscar
870,spend,gastar
871,usual,normalmente
872,worse,pior
873,locker,armário
874,important,importante
875,favorite,favorito
876,grip,pegada
877,TV,TV
878,ice,gelo
879,pretend,fingir
880,settle,resolver
881,amaze,surpreender
882,pop,pop
883,disappear,desaparecer
884,carefully,com cuidado
885,train,trem
886,stick,grudar
887,guard,guarda
888,teeth,dentes
889,flash,clarão
890,uncle,tio
891,send,enviar
892,doubt,dúvida
893,visit,visita
894,nervous,nervoso
895,excite,excitar
896,approach,abordagem
897,excuse,desculpa
898,fit,ajustar
899,noise,barulho
900,study,estudar
901,letter,carta
902,police,polícia
903,eventually,eventualmente
904,burn,queimar
905,field,campo
906,hospital,hospital
907,tie,gravata
908,summer,verão
909,huh,huh
910,shift,mudança
911,self,auto
912,hurry,pressa
913,greet,saudar
914,wife,esposa
915,position,posição
916,we've,nós temos
917,wipe,limpar
918,heavy,pesado
919,slam,golpe
920,broken,quebrado
921,complete,completo
922,space,espaço
923,brain,cérebro
924,tiny,pequeno
925,pants,calça
926,ah,ah
927,punch,soco
928,shower,banho
929,tongue,língua
930,afternoon,tarde
931,seriously,seriamente
932,cup,xícara
933,further,avançar
934,race,corrida
935,recognize,reconhecer
936,computer,computador
937,rang,tocou
938,safe,seguro
939,jacket,jaqueta
940,bottom,fundo
941,hundred,centenas
942,relax,relaxar
943,sudden,repentino
944,wow,uau
945,college,faculdade
946,flip,virar
947,mood,humor
948,track,acompanhar
949,crack,rachadura
950,block,bloquear
951,handle,lidar
952,themselves,eles mesmos
953,drove,dirigiu
954,seven,Sete
955,struggle,luta
956,whether,se
957,ahead,à frente
958,sad,triste
