Spain,Portugues
teclado,teclado
ratón,mouse
impresora,impressora
internet,internet
correo,e-mail
contraseña,senha
archivo,arquivo
red,rede
móvil,celular
teléfono,telefone
batería,bateria
cargador,carregador
cámara,câmera
televisión,televisão
radio,rádio
sonido,som
vídeo,vídeo
foto,foto
ciencia,ciência
tecnología,tecnologia
espacio,espaço
universo,universo
planeta,planeta
herramienta,ferramenta
máquina,máquina
motor,motor
rueda,roda
vidrio,vidro
plástico,plástico
metal,metal
madera,madeira
papel,papel
cartón,papelão
piedra,pedra
arena,areia
polvo,poeira
salud,saúde
enfermedad,doença
dolor,dor
fiebre,febre
gripe,gripe
tos,tosse
herida,ferida
sangre,sangue
pastilla,comprimido
vacuna,vacina
cuerpo,corpo
piel,pele
hueso,osso
músculo,músculo
cerebro,cérebro
pulmón,pulmão
estómago,estômago
cuello,pescoço
hombro,ombro
espalda,costas
pecho,peito
cintura,cintura
rodilla,joelho
tobillo,tornozelo
dedo,dedo
uña,unha
despertar,acordar
levantar,levantar
duchar,tomar banho
lavar,lavar
limpiar,limpar
cocinar,cozinhar
almorzar,almoçar
cenar,jantar
descansar,descansar
pasear,passear
viajar,viajar
conducir,dirigir
volar,voar
nadar,nadar
saltar,saltar
cantar,cantar
bailar,dançar
reír,rir
llorar,chorar
sonreír,sorrir
gritar,gritar
escuchar,ouvir
oír,escutar
tocar,tocar
sentir,sentir
oler,cheirar
probar,provar
ayudar,ajudar
compartir,compartilhar
regalar,presentear
enviar,enviar
recibir,receber
vender,vender
gastar,gastar
ahorrar,economizar
perder,perder
ganar,ganhar
lograr,conseguir
intentar,tentar
empezar,começar
terminar,terminar
parar,parar
continuar,continuar
cambiar,mudar
mejorar,melhorar
empeorar,piorar
romper,quebrar
arreglar,consertar
sociedad,sociedade
gobierno,governo
estado,estado
pueblo,povo
ciudadano,cidadão
derecho,direito
ley,lei
justicia,justiça
libertad,liberdade
igualdad,igualdade
paz,paz
guerra,guerra
voto,voto
elección,eleição
política,política
presidente,presidente
congreso,congresso
seguridad,segurança
crimen,crime
prisión,prisão
juez,juiz
ejército,exército
soldado,soldado
frontera,fronteira
bandera,bandeira
idioma,idioma
cultura,cultura
historia,história
futuro,futuro
pasado,passado
presente,presente
éxito,sucesso
fracaso,fracasso
error,erro
verdad,verdade
mentira,mentira
secreto,segredo
suerte,sorte
destino,destino
vida,vida
muerte,morte
nacimiento,nascimento
empresa,empresa
oficina,escritório
reunión,reunião
contrato,contrato
salario,salário
empleo,emprego
huelga,greve
jubilación,aposentadoria
dinero,dinheiro
moneda,moeda
billete,nota
moneda,moeda
banco,banco
cuenta,conta
ahorro,poupança
inversión,investimento
deuda,dívida
impuesto,imposto
mercado,mercado
negocio,negócio
comercio,comércio
fábrica,fábrica
industria,indústria
producto,produto
calidad,qualidade
cantidad,quantidade
número,número
forma,forma
tamaño,tamanho
peso,peso
medida,medida
espacio,espaço
tiempo,tempo
momento,momento
época,época
siglo,século
década,década
etapa,etapa
fase,fase
orden,ordem
caos,caos
sistema,sistema
método,método
plan,plano
proyecto,projeto
objetivo,objetivo
meta,meta
resultado,resultado
efecto,efeito
causa,causa
motivo,motivo
razón,razão
duda,dúvida
opinión,opinião
consejo,conselho
ayuda,ajuda
apoyo,apoio
respeto,respeito
honor,honra
culpa,culpa
miedo,medo
valor,valor
precio,preço
oferta,oferta
demanda,demanda
beneficio,benefício
pérdida,perda
ganancia,ganho
seguro,seguro
riesgo,risco
peligro,perigo
suerte,sorte
esfuerzo,esforço
trabajo,trabalho
tarea,tarefa
deber,dever
responsabilidad,responsabilidade
permiso,permissão
prohibición,proibição
regla,regra
norma,norma
acuerdo,acordo
trato,trato
unión,união
división,divisão
grupo,grupo
equipo,equipa
miembro,membro
socio,sócio
compañero,companheiro
vecino,vizinho
extranjero,estrangeiro
turista,turista
viajero,viajante
camino,caminho
ruta,rota
mapa,mapa
dirección,direção
norte,norte
sur,sul
este,este
oeste,oeste
derecha,direita
izquierda,esquerda
centro,centro
esquina,esquina
sitio,sítio/lugar
lugar,lugar
parte,parte
todo,todo
nada,nada
algo,algo
alguien,alguém
nadie,ninguém
alguna vez,alguma vez
nunca,nunca
siempre,sempre
a veces,às vezes
quizás,talvez
claro,claro
seguro,seguro
obvio,óbvio
cierto,certo
falso,falso
posible,possível
imposible,impossível
capaz,capaz
incapaz,incapaz
útil,útil
inútil,inútil
importante,importante
necesario,necessário
urgente,urgente
común,comum
raro,raro
extraño,estranho
especial,especial
general,geral
lunes,segunda-feira
martes,terça-feira
miércoles,quarta-feira
jueves,quinta-feira
viernes,sexta-feira
sábado,sábado
domingo,domingo
enero,janeiro
febrero,fevereiro
marzo,março
abril,abril
mayo,maio
junio,junho
julio,julho
agosto,agosto
septiembre,setembro
octubre,outubro
noviembre,novembro
diciembre,dezembro
primavera,primavera
verano,verão
otoño,outono
invierno,inverno
cero,zero
uno,um
dos,dois
tres,três
cuatro,quatro
cinco,cinco
seis,seis
siete,sete
ocho,oito
nueve,nove
diez,dez
once,onze
doce,doze
trece,treze
catorce,catorze
quince,quinze
veinte,vinte
treinta,trinta
cuarenta,quarenta
cincuenta,cinquenta
sesenta,sessenta
setenta,setenta
ochenta,oitenta
noventa,noventa
cien,cem
mil,mil
millón,milhão
primero,primeiro
segundo,segundo
tercero,terceiro
último,último
desayuno,café da manhã
almuerzo,almoço
cena,jantar
merienda,lanche
pan,pão
arroz,arroz
frijoles,feijão
carne,carne
pollo,frango
pescado,peixe
huevo,ovo
ensalada,salada
fruta,fruta
manzana,maçã
plátano,banana
naranja,laranja
uva,uva
verdura,verdura
patata,batata
tomate,tomate
cebolla,cebola
ajo,alho
sal,sal
azúcar,açúcar
aceite,óleo/azeite
vinagre,vinagre
leche,leite
queso,queijo
mantequilla,manteiga
yogur,iogurte
agua,água
jugo,suco
refresco,refrigerante
té,chá
café,café
cerveza,cerveja
vino,vinho
postre,sobremesa
dulce,doce
helado,sorvete
galleta,biscoito/bolacha
pastel,bolo
clima,clima
tiempo,tempo
calor,calor
frío,frio
sol,sol
nube,nuvem
nublado,nublado
lluvia,chuva
llover,chover
nieve,neve
nevar,nevar
viento,vento
tormenta,tempestade
trueno,trovão
relámpago,relâmpago
niebla,nevoeiro
humedad,umidade
seco,seco
grado,grau
temperatura,temperatura
estación,estação
aire,ar
oxígeno,oxigênio
naturaleza,natureza
paisaje,paisagem
montaña,montanha
valle,vale
desierto,deserto
selva,selva
océano,oceano
ola,onda
arena,areia
piedra,pedra
metal,metal
oro,ouro
plata,prata
hierro,ferro
cobre,cobre
plástico,plástico
vidrio,vidro
madera,madeira
papel,papel
cuero,couro
algodón,algodão
seda,seda
lana,lã
fino,fino
grueso,grosso
suave,suave
áspero,áspero
brillante,brilhante
mate,fosco
recto,reto
curvo,curvo
redondo,redondo
cuadrado,quadrado
triangular,triangular
profundo,profundo
superficial,superficial
pesado,pesado
ligero,leve
antiguo,antigo
moderno,moderno
caro,caro
barato,barato
gratis,grátis
herramienta,ferramenta
martillo,martelo
clavo,prego
tornillo,parafuso
destornillador,chave de fenda
llave inglesa,chave inglesa
tijeras,tesoura
pegamento,cola
cinta,fita
cuerda,corda
balde,balde
escoba,vassoura
trapo,pano
aspiradora,aspirador
plancha,ferro de passar
lavadora,máquina de lavar
secadora,secadora
lavavajillas,lava-louças
microondas,micro-ondas
horno,forno
estufa,fogão
nevera,geladeira
congelador,congelador
grifo,torneira
espejo,espelho
cuadro,quadro
alfombra,tapete
cortina,cortina
almohada,travesseiro
manta,cobertor
sábana,lençol
toalla,toalha
jabón,sabão
champú,shampoo
cepillo,escova
peine,pente
pasta de dientes,pasta de dente
esponja,esponja
maquillaje,maquiagem
perfume,perfume
joya,joia
anillo,anel
collar,colar
pulsera,pulseira
reloj,relógio
gafas,óculos
paraguas,guarda-chuva
bolsillo,bolso
botón,botão
cremallera,zíper
hilo,fio/linha
aguja,agulha
tela,tecido
cuero,couro
lana,lã
algodón,algodão
seda,seda
hierro,ferro
acero,aço
oro,ouro
plata,prata
cobre,cobre
aluminio,alumínio
plástico,plástico
vidrio,vidro
cartón,papelão
arena,areia
barro,barro
piedra,pedra
gasolina,gasolina
aceite,óleo
carbón,carvão
energía,energia
electricidad,eletricidade
fuerza,força
velocidad,velocidade
distancia,distância
peso,peso
altura,altura
profundidad,profundidade
superficie,superfície
volumen,volume
espacio,espaço
forma,forma
círculo,círculo
cuadrado,quadrado
triángulo,triângulo
línea,linha
punto,ponto
ángulo,ângulo
apagar,desligar
encender,ligar
subir,subir
bajar,descer
entrar,entrar
salir,sair
abrir,abrir
cerrar,fechar
romper,quebrar
arreglar,consertar
limpiar,limpar
ensuciar,sujar
